iter	Passed	Remaining
0	191	191646
1	208	103962
2	226	75269
3	244	60828
4	260	51804
5	275	45594
6	288	40903
7	300	37211
8	311	34310
9	322	31942
10	335	30194
11	347	28584
12	357	27128
13	368	25969
14	383	25184
15	394	24232
16	406	23514
17	425	23188
18	440	22731
19	453	22237
20	469	21866
21	486	21621
22	500	21263
23	515	20947
24	529	20657
25	544	20411
26	558	20118
27	573	19900
28	589	19749
29	604	19555
30	618	19328
31	632	19132
32	646	18942
33	658	18706
34	670	18494
35	683	18313
36	696	18139
37	709	17953
38	720	17755
39	731	17565
40	743	17387
41	754	17220
42	764	17022
43	775	16859
44	787	16721
45	799	16577
46	810	16424
47	822	16308
48	833	16184
49	844	16042
50	856	15946
51	869	15851
52	880	15724
53	893	15654
54	905	15552
55	917	15462
56	928	15353
57	938	15248
58	950	15158
59	961	15066
60	978	15060
61	994	15049
62	1008	15003
63	1021	14941
64	1036	14905
65	1050	14869
66	1065	14835
67	1078	14780
68	1094	14767
69	1105	14690
70	1118	14635
71	1129	14562
72	1140	14482
73	1152	14422
74	1163	14352
75	1174	14273
76	1187	14237
77	1202	14216
78	1218	14202
79	1230	14152
80	1244	14119
81	1255	14050
82	1265	13984
83	1277	13926
84	1286	13852
85	1299	13813
86	1311	13765
87	1321	13690
88	1332	13641
89	1346	13617
90	1361	13603
91	1377	13596
92	1392	13579
93	1408	13580
94	1425	13583
95	1439	13558
96	1490	13871
97	1541	14183
98	1570	14292
99	1585	14267
100	1600	14244
101	1630	14354
102	1645	14328
103	1660	14303
104	1677	14299
105	1690	14255
106	1704	14227
107	1722	14222
108	1732	14164
109	1745	14122
110	1758	14081
111	1768	14022
112	1779	13966
113	1790	13915
114	1801	13862
115	1811	13802
116	1823	13763
117	1834	13709
118	1844	13652
119	1855	13606
120	1864	13547
121	1875	13498
122	1889	13470
123	1905	13462
124	1920	13446
125	1932	13403
126	1943	13357
127	1956	13328
128	1970	13302
129	1981	13261
130	1992	13218
131	2004	13182
132	2018	13156
133	2029	13115
134	2040	13074
135	2053	13044
136	2065	13010
137	2079	12987
138	2089	12945
139	2102	12913
140	2113	12874
141	2126	12847
142	2141	12836
143	2156	12820
144	2170	12797
145	2183	12774
146	2198	12754
